item,task,worker,tstart,tproc
5,5,2,862.800000,87.600000
4,21,3,870.600000,18.000000
0,27,5,873.000000,60.000000
3,6,6,885.000000,55.200000
8,17,1,887.400000,12.000000
4,22,3,888.600000,18.000000
1,27,4,889.200000,60.000000
6,6,0,889.800000,55.200000
7,18,1,899.400000,21.000000
4,23,3,906.600000,18.000000
7,15,1,920.400000,6.000000
8,18,3,924.600000,21.000000
9,16,1,926.400000,18.000000
0,28,5,933.000000,43.800000
3,10,6,940.200000,36.600000
7,5,1,944.400000,87.600000
6,10,0,945.000000,36.600000
8,26,3,945.600000,31.200000
1,28,4,949.200000,43.800000
5,6,2,950.400000,55.200000
0,29,3,976.800000,14.400000
2,28,5,976.800000,43.800000
8,9,6,976.800000,21.600000
9,2,0,981.600000,16.800000
10,16,3,991.200000,18.000000
0,30,4,993.000000,25.200000
6,19,6,998.400000,18.600000
11,1,0,998.400000,15.600000
5,10,2,1005.600000,36.600000
1,29,3,1009.200000,14.400000
8,19,0,1014.000000,18.600000
6,20,6,1017.000000,8.400000
0,31,4,1018.200000,15.000000
3,28,5,1020.600000,43.800000
2,29,3,1023.600000,14.400000
6,21,6,1025.400000,18.000000
7,6,1,1032.000000,55.200000
8,20,0,1032.600000,8.400000
0,32,4,1033.200000,30.000000
9,3,3,1038.000000,42.600000
10,1,0,1041.000000,15.600000
11,16,2,1042.200000,18.000000
6,22,6,1043.400000,18.000000
8,21,0,1056.600000,18.000000
10,7,2,1060.200000,16.800000
6,23,6,1061.400000,18.000000
1,30,4,1063.200000,25.200000
2,30,5,1064.400000,25.200000
0,33,0,1074.600000,25.200000
3,29,2,1077.000000,14.400000
8,22,6,1079.400000,18.000000
9,9,3,1080.600000,21.600000
7,10,1,1087.200000,36.600000
1,31,4,1088.400000,15.000000
2,31,5,1089.600000,15.000000
10,8,2,1091.400000,35.400000
8,23,6,1097.400000,18.000000
0,34,0,1099.800000,18.000000
9,24,3,1102.200000,14.400000
1,32,4,1103.400000,30.000000
2,32,5,1104.600000,30.000000
11,11,6,1115.400000,31.200000
9,25,3,1116.600000,29.400000
12,11,0,1117.800000,31.200000
7,26,1,1123.800000,31.200000
10,2,2,1126.800000,16.800000
3,30,4,1133.400000,25.200000
4,27,5,1134.600000,60.000000
13,1,2,1143.600000,15.600000
0,35,3,1146.000000,18.000000
1,33,6,1146.600000,25.200000
2,33,0,1149.000000,25.200000
